filename;output power;label
0.tiff;0,6572144111111118;1,0
1.tiff;0,6498323234195404;1,0
10.tiff;0,6497596892857145;1,0
100.tiff;0,5188267309148372;1,0
1000.tiff;0,5151339194069007;1,0
1001.tiff;0,6444357041666671;1,0
1002.tiff;0,640794395436508;1,0
1003.tiff;0,8075175000000003;0,0
1004.tiff;0,7714786500000003;0,0
1005.tiff;0,7747968047619053;0,0
1006.tiff;0,49745879999999987;1,0
1007.tiff;0,7735068047619054;0,0
1008.tiff;0,8002475000000002;0,0
1009.tiff;0,786877066666667;0,0
101.tiff;0,7982226916666673;0,0
1010.tiff;0,6506418158730165;1,0
1011.tiff;0,7329047000000005;1,0
1012.tiff;0,7407987750000008;1,0
1013.tiff;0,6577640325549453;1,0
1014.tiff;0,7988295000000002;0,0
1015.tiff;0,6364165345238095;1,0
1016.tiff;0,7663577544871798;0,0
1017.tiff;0,6348536611111121;1,0
1018.tiff;0,6450878920634922;1,0
1019.tiff;0,6626065204433502;1,0
102.tiff;0,7975360000000004;0,0
1020.tiff;0,7705194166666672;0,0
1021.tiff;0,647292181800144;1,0
1022.tiff;0,5542668690476192;1,0
1023.tiff;0,6453155349274767;1,0
1024.tiff;0,7836162666666674;0,0
1025.tiff;0,6703492087301594;1,0
1026.tiff;0,7627081666666671;0,0
1027.tiff;0,5180434207841178;1,0
1028.tiff;0,5993976130952384;1,0
1029.tiff;0,6123979159090909;1,0
103.tiff;0,7996485000000003;0,0
1030.tiff;0,7940590666666671;0,0
1031.tiff;0,5177929823315572;1,0
1032.tiff;0,7874053750000006;0,0
1033.tiff;0,7846958333333336;0,0
1034.tiff;0,7796946592490847;0,0
1035.tiff;0,7634381500000005;0,0
1036.tiff;0,6570969975675328;1,0
1037.tiff;0,693805783333334;1,0
1038.tiff;0,7866203166666675;0,0
1039.tiff;0,8017774416666671;0,0
104.tiff;0,6560385096978024;1,0
1040.tiff;0,6112368248376623;1,0
1041.tiff;0,644649704761905;1,0
1042.tiff;0,6591913575396835;1,0
1043.tiff;0,6842618728327232;1,0
1044.tiff;0,7847171666666668;0,0
1045.tiff;0,7608455333333339;0,0
1046.tiff;0,7944804000000005;0,0
1047.tiff;0,7799414166666669;0,0
1048.tiff;0,6449234429971987;1,0
1049.tiff;0,7878642142857144;0,0
105.tiff;0,7868545000000005;0,0
1050.tiff;0,7654387083333336;0,0
1051.tiff;0,4953553155112042;1,0
1052.tiff;0,6496996996100168;1,0
1053.tiff;0,6592544579433499;1,0
1054.tiff;0,7524401666666676;0,0
1055.tiff;0,7845343166666668;0,0
1056.tiff;0,7886166166666668;0,0
1057.tiff;0,6014627742063496;1,0
1058.tiff;0,6634482880952385;1,0
1059.tiff;0,7884028333333336;0,0
106.tiff;0,7783725000000006;0,0
